"","Npars","TOTAL_like","Survey_like","Length_comp_like","Age_comp_like"
"Model 321",0,0,0,0,0
"323: No time blocks",-18,28.54,6.18,21.87,-2.08000000000004
"324: No time blocks and rec asymptotic",-19,28.4799999999999,6.21,21.77,-2.07000000000005
"325: Rec asymptotic",-4,0.269999999999982,0.0900000000000034,0.280000000000001,-0.0299999999999727
"326: Rec asymptotic with rov domed",-3,0.169999999999959,0.120000000000001,0.159999999999997,-0.100000000000023
"327: Rec asymptotic with ccfrp domed",-3,-0.379999999999995,0.0400000000000027,0.039999999999992,-0.399999999999977
"328: Rec asymptotic with rov and ccfrp domed",-2,-0.590000000000032,0.0900000000000034,-0.159999999999997,-0.529999999999973
"329: No time blocks and domed",-16,24.3299999999999,4.94,19.06,-2.70000000000005
"3210: Domed",2,-1.90000000000009,0.0400000000000027,-1.77000000000001,-0.480000000000018
"3211: Reweighted 3210",2,5.90999999999997,0.0600000000000023,1.14000000000001,4.12
"3212: Rec asymptotic for first block",1,-1.88,0.0800000000000018,-1.71000000000001,-0.67999999999995
