Location,2014,2015,2016,2019,2020,2021, Total
Albion,10,,,,,,10
Ano Nuevo,,9,,10,,10,29
Asilomar,,,15,,,,15
Big Flat,3,,,,,,3
Bodega Bay,,44,,38,43,,125
Cabrillo,7,,,,,,7
Carmel Bay,,,8,,,,8
Crescent City,4,,,,,,4
Cypress Point,,,8,10,,14,32
Duxbury Point,,3,,,,,3
Fort Ross,,1,,,,,1
Half Moon Bay,,8,,,16,7,31
MacKerricher,12,,,,,,12
Mattole Canyon,16,13,,,,,29
Montara,,12,,,11,10,33
N Farallon Islands,,,,,10,,10
Noyo,3,,,,,,3
Pacific Grove,,,8,,,,8
Pillar Point,,4,,,4,4,12
Point Arena,,17,,,14,11,42
Point Lobos,,,16,13,,20,49
Point St. George,28,12,,,19,12,71
Point Sur,,,23,22,,21,66
Portuguese Ledge,,,12,12,,10,34
Reading Rock,22,15,,,20,14,71
San Gregorio Reef,,6,,,,,6
Saunders Reef,,8,,,,,8
SE Farallon Islands,,27,,23,23,,73
Sea Lion Gulch,15,6,,,18,20,59
South Cape Mendocino,14,,,,,,14
Stewarts Point,,3,,,,,3
Ten Mile,21,16,,,20,18,75
Tolo Bank,18,,,,,,18
Tomales Point,,3,,,,,3
Total,173,207,90,128,198,171,967
