" ","Base","Remove com ages","Remove com lengths","Remove rec lengths","Remove growth ages","Remove PR index","Remove ROV index","Remove CCFRP index"
"Npar","121","121","121","121","121","121","120","120"
"TOTAL_like","668.238","598.332","605.407","585.439","221.599","687.622","659.744","642.177"
"Survey_like","-26.349","-26.300","-26.297","-27.388","-27.785","-6.684","-23.762","-21.957"
"Length_comp_like","174.184","174.263","116.244","97.639","166.316","174.317","163.355","145.321"
"Age_comp_like","500.121","430.498","498.313","497.680","74.493","499.967","499.986","500.515"
"Parm_priors_like","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","45.612","43.861","45.122","45.050","45.179","45.324","43.545"
"SR_LN(R0)","3.818","3.820","3.781","3.809","3.808","3.811","3.814","3.774"
"SR_BH_steep","0.720","0.720","0.720","0.720","0.720","0.720","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.068","0.068","0.068","0.068","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","42.758","42.929","41.657","42.411","42.750","42.923","42.795"
"VonBert_K_Fem_GP_1","0.126","0.126","0.125","0.145","0.159","0.127","0.123","0.127"
"SSB_Virgin","97.832","97.997","95.317","91.736","104.912","97.322","97.832","94.722"
"Bratio_2025","0.464","0.463","0.472","0.513","0.345","0.458","0.460","0.471"
"SPRratio_2024","0.0919","0.0919","0.0934","0.086","0.116","0.0932","0.093","0.0928"
