" ","Base","Dirichlet","McAllister-Ianelli","Index Extra SD"
"Npar","121","127","121","124"
"TOTAL_like","668.238","3459.920","732.540","663.147"
"Survey_like","-26.349","-27.104","-27.019","-30.498"
"Length_comp_like","174.184","1990.460","302.462","174.371"
"Age_comp_like","500.121","1444.480","434.361","500.125"
"Parm_priors_like","0.000719","17.918","0.000719","0.000719"
"Recr_Virgin_thousands","45.520","45.267","45.623","44.591"
"SR_LN(R0)","3.818","3.813","3.820","3.798"
"SR_BH_steep","0.720","0.720","0.720","0.720"
"NatM_uniform_Fem_GP_1","0.068","0.068","0.068","0.068"
"L_at_Amax_Fem_GP_1","42.749","43.070","42.846","42.759"
"VonBert_K_Fem_GP_1","0.126","0.121","0.125","0.127"
"SSB_Virgin","97.832","98.635","99.195","96.296"
"Bratio_2025","0.464","0.492","0.452","0.460"
"SPRratio_2024","0.0919","0.0881","0.0942","0.0935"
